order_id,customer_id,order_date,product,category,quantity,unit_price,total_amount
101,1,2025-06-01,Laptop,Electronics,1,55000,55000
102,2,2025-06-03,Phone,Electronics,2,25000,50000
103,3,2025-06-05,Headphones,Electronics,1,3000,3000
104,4,2025-06-07,Shoes,Fashion,2,2500,5000
105,5,2025-06-10,Laptop,Electronics,1,60000,60000
107,7,2025-06-15,Phone,Electronics,2,22000,44000
108,8,2025-06-18,Keyboard,Electronics,1,4000,4000
109,9,2025-06-20,Shoes,Fashion,3,3000,9000
110,10,2025-06-22,Mouse,Electronics,2,1500,3000
112,3,2025-07-03,Phone,Electronics,1,28000,28000
113,5,2025-07-05,Watch,Fashion,2,4500,9000
114,7,2025-07-08,Headphones,Electronics,1,3500,3500
115,9,2025-07-10,Shoes,Fashion,2,2800,5600
116,11,2025-07-12,Laptop,Electronics,1,58000,58000
117,12,2025-07-15,Mouse,Electronics,3,1800,5400
118,13,2025-07-18,Phone,Electronics,2,26000,52000
119,14,2025-07-20,Keyboard,Electronics,1,4500,4500
120,15,2025-07-22,Watch,Fashion,1,6000,6000
